Code,Name,area_km2,area_km2_source,area_km2_source_url,population,population_date,population_source,population_source_url
SDN,Sudan,"1,861,484",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"35,482,233",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html
,,,,,,,,
ATA,Antarctica,"14,000,000",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/geos/ay.html,"4,490",Summer 2009,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/geos/ay.html
PRX,Portugal,"92,145",Wikipedia,https://en.wikipedia.org/wiki/Continental_Portugal,"10,459,806","2,013",World Bank,http://data.worldbank.org/indicator/SP.POP.TOTL
ASIA,Asia,"43,820,000",DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm,"4,164,252,000",2012,DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm
AF,Africa,"30,370,000",DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm,"1,022,234,000",2012,DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm
EU,Europe,"10,180,000",DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm,"738,199,000",2012,DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm
SA,South America,"17,840,000",DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm,"392,555,000",2012,DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm
NLX,Netherlands (Overseas Territories),"42,525",CBS,"http://statline.cbs.nl/StatWeb/publication/?DM=SLNL&PA=37230ned&D1=0-17&D2=0-4&D3=130-134&HDR=G2&STB=G1,T&VW=T","17,034,544",1 Jan 2012,CBS,"http://statline.cbs.nl/StatWeb/publication/?DM=SLNL&PA=37230ned&D1=0-17&D2=0-4&D3=130-134&HDR=G2&STB=G1,T&VW=T"
NLD,Netherlands,"41,526",CBS,"http://statline.cbs.nl/StatWeb/publication/?DM=SLNL&PA=37230ned&D1=0-17&D2=0-4&D3=130-134&HDR=G2&STB=G1,T&VW=T","16,748,205",1 Jan 2012,CBS,"http://statline.cbs.nl/StatWeb/publication/?DM=SLNL&PA=37230ned&D1=0-17&D2=0-4&D3=130-134&HDR=G2&STB=G1,T&VW=T"
